[laughter] 1.0	laughter
[noise] 1.0	noise
'bout 1.0	b aw t
'cause 1.0	k ah z
'course 1.0	k ao r s
'cuse 1.0	k y uw z
'em 1.0	ah m
'frisco 1.0	f r ih s k ow
'kay 1.0	k ey
'n 1.0	ah n
'round 1.0	r aw n d
's 1.0	eh s
'til 1.0	t ih l
a 1.0	ah
a 1.0	ey
a's 1.0	ey z
a. 1.0	ey
a.'s 1.0	ey z
a.s 1.0	ey z
aaron 1.0	eh r ah n
aaron's 1.0	eh r ah n z
ab 1.0	ae b
ab 1.0	ey b iy
aback 1.0	ah b ae k
abacus 1.0	ae b ah k ah s
abalone 1.0	ae b ah l ow n iy
abandon 1.0	ah b ae n d ah n
abandoned 1.0	ah b ae n d ah n d
abandoning 1.0	ah b ae n d ah n ih ng
abandonment 1.0	ah b ae n d ah n m ah n t
abate 1.0	ah b ey t
abatement 1.0	ah b ey t m ah n t
abatements 1.0	ah b ey t m ah n t s
abba 1.0	ae b ah
abbey 1.0	ae b iy
abbot 1.0	ae b ah t
abbott 1.0	ae b ah t
abbreviate 1.0	ah b r iy v iy ey t
abbreviated 1.0	ah b r iy v iy ey t ah d
abbreviated 1.0	ah b r iy v iy ey t ih d
abbreviation 1.0	ah b r iy v iy ey sh ah n
abbreviations 1.0	ah b r iy v iy ey sh ah n z
abby 1.0	ae b iy
abdicated 1.0	ae b d ah k ey t ah d
abdicates 1.0	ae b d ah k ey t s
abdicating 1.0	ae b d ih k ey t ih ng
abdomen 1.0	ae b d ah m ah n
abdomen 1.0	ae b d ow m ah n
abdominal 1.0	ae b d aa m ah n ah l
abdominal 1.0	ah b d aa m ah n ah l
abduct 1.0	ae b d ah k t
abducted 1.0	ae b d ah k t ih d
abducted 1.0	ah b d ah k t ih d
abductee 1.0	ae b d ah k t iy
abductees 1.0	ae b d ah k t iy z
abduction 1.0	ae b d ah k sh ah n
abduction 1.0	ah b d ah k sh ah n
abductions 1.0	ae b d ah k sh ah n z
abductions 1.0	ah b d ah k sh ah n z
abdul 1.0	ae b d uw l
abe 1.0	ey b
abel 1.0	ey b ah l
abercrombie 1.0	ae b er k r aa m b iy
aberdeen 1.0	ae b er d iy n
aberrant 1.0	ae b eh r ah n t
aberration 1.0	ae b er ey sh ah n
aberrations 1.0	ae b er ey sh ah n z
abetting 1.0	ah b eh t ih ng
abhor 1.0	ae b hh ao r
abhorrent 1.0	ae b hh ao r ah n t
abhors 1.0	ah b hh ao r z
abide 1.0	ah b ay d
abides 1.0	ah b ay d z
abiding 1.0	ah b ay d ih ng
abigail 1.0	ae b ah g ey l
abilene 1.0	ae b ih l iy n
abilities 1.0	ah b ih l ah t iy z
ability 1.0	ah b ih l ah t iy
abington 1.0	ae b ih ng t ah n
abject 1.0	ae b jh eh k t
able 1.0	ey b ah l
abnormal 1.0	ae b n ao r m ah l
abnormalities 1.0	ae b n ao r m ae l ah t iy z
abnormality 1.0	ae b n ao r m ae l ah t iy
abnormally 1.0	ae b n ao r m ah l iy
aboard 1.0	ah b ao r d
abolish 1.0	ah b aa l ih sh
abolished 1.0	ah b aa l ih sh t
abolishing 1.0	ah b aa l ih sh ih ng
abominable 1.0	ah b aa m ah n ah b ah l
abomination 1.0	ah b aa m ah n ey sh ah n
aborigine 1.0	ae b er ih jh ah n iy
aborigines 1.0	ae b er ih jh ah n iy z
abort 1.0	ah b ao r t
aborted 1.0	ah b ao r t ih d
abortion 1.0	ah b ao r sh ah n
abortions 1.0	ah b ao r sh ah n z
abou 1.0	ah b uw
abound 1.0	ah b aw n d
about 1.0	ah b aw t
about's 1.0	ah b aw t s
above 1.0	ah b ah v
abraham 1.0	ey b r ah hh ae m
abrahams 1.0	ey b r ah hh ae m z
abrams 1.0	ey b r ah m z
abramson 1.0	ey b r ah m s ah n
abrasive 1.0	ah b r ey s ih v
abreast 1.0	ah b r eh s t
abridge 1.0	ah b r ih jh
abridged 1.0	ah b r ih jh d
abroad 1.0	ah b r ao d
abrogate 1.0	ae b r ah g ey t
abrupt 1.0	ah b r ah p t
abruptly 1.0	ah b r ah p t l iy
abs 1.0	ae b z
abs 1.0	ey b iy eh s
abscess 1.0	ae b s eh s
absence 1.0	ae b s ah n s
absences 1.0	ae b s ah n s ih z
absent 1.0	ae b s ah n t
absentee 1.0	ae b s ah n t iy
absenteeism 1.0	ae b s ah n t iy ih z ah m
absentees 1.0	ae b s ah n t iy z
absolut 1.0	ae b s ah l uw t
absolute 1.0	ae b s ah l uw t
absolutely 1.0	ae b s ah l uw t l iy
absolutes 1.0	ae b s ah l uw t s
absolutist 1.0	ae b s ih l uw t ih s t
absolve 1.0	ae b z aa l v
absolve 1.0	ah b z aa l v
absorb 1.0	ah b z ao r b
absorbed 1.0	ah b z ao r b d
absorbent 1.0	ah b z ao r b ah n t
absorbing 1.0	ah b z ao r b ih ng
absorbs 1.0	ah b z ao r b z
absorption 1.0	ah b s ao r p sh ah n
absorption 1.0	ah b z ao r p sh ah n
abstain 1.0	ae b s t ey n
abstain 1.0	ah b s t ey n
abstaining 1.0	ae b s t ey n ih ng
abstaining 1.0	ah b s t ey n ih ng
abstinence 1.0	ae b s t ah n ah n s
abstinent 1.0	ae b s t ah n ah n t
abstract 1.0	ae b s t r ae k t
abstraction 1.0	ae b s t r ae k sh ah n
absurd 1.0	ah b s er d
absurdist 1.0	ah b s er d ih s t
absurdities 1.0	ah b s er d ah t iy z
absurdity 1.0	ah b s er d ah t iy
abu 1.0	ae b uw
abundance 1.0	ah b ah n d ah n s
abundant 1.0	ah b ah n d ah n t
abundantly 1.0	ah b ah n d ah n t l iy
abuse 1.0	ah b y uw s
abuse 1.0	ah b y uw z
abused 1.0	ah b y uw z d
abuser 1.0	ah b y uw z er
abusers 1.0	ah b y uw z er z
abuses 1.0	ah b y uw s ih z
abuses 1.0	ah b y uw z ih z
abusing 1.0	ah b y uw z ih ng
abusive 1.0	ah b y uw s ih v
abut 1.0	ah b ah t
abutting 1.0	ah b ah t ih ng
abysmal 1.0	ah b ih z m ah l
abyss 1.0	ah b ih s
abyssinian 1.0	ae b s ih n iy ah n
ac 1.0	ey s iy
academia 1.0	ae k ah d iy m iy ah
academic 1.0	ae k ah d eh m ih k
academically 1.0	ae k ah d eh m ih k l iy
academics 1.0	ae k ah d eh m ih k s
academies 1.0	ah k ae d ah m iy z
academy 1.0	ah k ae d ah m iy
acadia 1.0	ah k ey d iy ah
acapulco 1.0	ae k ah p uh l k ow
accede 1.0	ae k s iy d
accelerate 1.0	ae k s eh l er ey t
accelerated 1.0	ae k s eh l er ey t ih d
accelerates 1.0	ae k s eh l er ey t s
accelerating 1.0	ae k s eh l er ey t ih ng
acceleration 1.0	ae k s eh l er ey sh ah n
accelerator 1.0	ae k s eh l er ey t er
accent 1.0	ae k s eh n t
accent 1.0	ah k s eh n t
accented 1.0	ae k s eh n t ih d
accents 1.0	ae k s eh n t s
accentuate 1.0	ae k s eh n ch uw ey t
accentuated 1.0	ae k s eh n ch ah w ey t ih d
accept 1.0	ae k s eh p t
accept 1.0	ah k s eh p t
acceptability 1.0	ah k s eh p t ah b ih l ah t iy
acceptable 1.0	ae k s eh p t ah b ah l
acceptable 1.0	ah k s eh p t ah b ah l
acceptance 1.0	ae k s eh p t ah n s
acceptance 1.0	ah k s eh p t ah n s
acceptances 1.0	ae k s eh p t ah n s ih z
accepted 1.0	ae k s eh p t ih d
accepted 1.0	ah k s eh p t ah d
accepting 1.0	ae k s eh p t ih ng
accepting 1.0	ah k s eh p t ih ng
accepts 1.0	ae k s eh p t s
access 1.0	ae k s eh s
accessed 1.0	ae k s eh s t
accessibility 1.0	ae k s eh s ah b ih l ih t iy
accessible 1.0	ae k s eh s ah b ah l
accessing 1.0	ae k s eh s ih ng
accessories 1.0	ae k s eh s er iy z
accessory 1.0	ae k s eh s er iy
accident 1.0	ae k s ah d ah n t
accidental 1.0	ae k s ah d eh n ah l
accidental 1.0	ae k s ah d eh n t ah l
accidentally 1.0	ae k s ah d eh n ah l iy
accidentally 1.0	ae k s ah d eh n t ah l iy
accidently 1.0	ae k s ah d ah n t l iy
accidents 1.0	ae k s ah d ah n t s
acclaim 1.0	ah k l ey m
acclaimed 1.0	ah k l ey m d
acclimate 1.0	ae k l ah m ey t
acclimated 1.0	ae k l ah m ey t ih d
accokeek 1.0	ae k ow k iy k
accolades 1.0	ae k ah l ey d z
accommodate 1.0	ah k aa m ah d ey t
accommodated 1.0	ah k aa m ah d ey t ah d
accommodates 1.0	ah k aa m ah d ey t s
accommodating 1.0	ah k aa m ah d ey t ih ng
accommodation 1.0	ah k aa m ah d ey sh ah n
accommodations 1.0	ah k aa m ah d ey sh ah n z
accompanied 1.0	ah k ah m p ah n iy d
accompaniment 1.0	ah k ah m p n ih m ah n t
accompaniment 1.0	ah k ah m p n iy m ah n t
accompany 1.0	ah k ah m p ah n iy
accompanying 1.0	ah k ah m p ah n iy ih ng
accomplice 1.0	ah k aa m p l ah s
accomplish 1.0	ah k aa m p l ih sh
accomplished 1.0	ah k aa m p l ih sh t
accomplishes 1.0	ah k aa m p l ih sh ih z
accomplishing 1.0	ah k aa m p l ih sh ih ng
accomplishment 1.0	ah k aa m p l ih sh m ah n t
accomplishments 1.0	ah k aa m p l ih sh m ah n t s
accord 1.0	ah k ao r d
accordance 1.0	ah k ao r d ah n s
according 1.0	ah k ao r d ih ng
accordingly 1.0	ah k ao r d ih ng l iy
accordion 1.0	ah k ao r d iy ah n
accords 1.0	ah k ao r d z
accosted 1.0	ah k aa s t ah d
account 1.0	ah k aw n t
accountability 1.0	ah k aw n ah b ih l ih t iy
accountability 1.0	ah k aw n t ah b ih l ih t iy
accountable 1.0	ah k aw n ah b ah l
accountable 1.0	ah k aw n t ah b ah l
accountancy 1.0	ah k aw n t ah n s iy
accountant 1.0	ah k aw n t ah n t
accountants 1.0	ah k aw n t ah n t s
accounted 1.0	ah k aw n ah d
accounted 1.0	ah k aw n t ah d
accounting 1.0	ah k aw n ih ng
accounting 1.0	ah k aw n t ih ng
accounts 1.0	ah k aw n t s
accreditation 1.0	ah k r eh d ah t ey sh ah n
accredited 1.0	ah k r eh d ih t ih d
accrue 1.0	ah k r uw
accrued 1.0	ah k r uw d
accumulate 1.0	ah k y uw m y ah l ey t
accumulated 1.0	ah k y uw m y ah l ey t ih d
accumulates 1.0	ah k y uw m y ah l ey t s
accumulating 1.0	ah k y uw m y ah l ey t ih ng
accumulation 1.0	ah k y uw m y ah l ey sh ah n
accumulative 1.0	ah k y uw m y ah l ey t ih v
accumulatively 1.0	ah k y uw m y ah l ah t ih v l iy
accumulatively 1.0	ah k y uw m y ah l ey t ih v l iy
accuracy 1.0	ae k y er ah s iy
accurate 1.0	ae k y er ah t
accurately 1.0	ae k y er ah t l iy
accusation 1.0	ae k y ah z ey sh ah n
accusation 1.0	ae k y uw z ey sh ah n
accusations 1.0	ae k y ah z ey sh ah n z
accusations 1.0	ae k y uw z ey sh ah n z
accusatory 1.0	ah k y uw z ah t ao r iy
accuse 1.0	ah k y uw z
accused 1.0	ah k y uw z d
accuser 1.0	ah k y uw z er
accuses 1.0	ah k y uw z ih z
accusing 1.0	ah k y uw z ih ng
accustom 1.0	ah k ah s t ah m
accustomed 1.0	ah k ah s t ah m d
ace 1.0	ey s
aced 1.0	ey s t
acer 1.0	ey s er
acerbic 1.0	ah s eh r b ih k
aces 1.0	ey s ih z
acetaminophen 1.0	ah s iy t ah m ih n ah f ah n
acetate 1.0	ae s ah t ey t
acey 1.0	ey s iy
ache 1.0	ey k
ached 1.0	ey k t
aches 1.0	ey k s
achey 1.0	ae ch iy
achievable 1.0	ah ch iy v ah b ah l
achieve 1.0	ah ch iy v
achieved 1.0	ah ch iy v d
achievement 1.0	ah ch iy v m ah n t
achievements 1.0	ah ch iy v m ah n t s
achiever 1.0	ah ch iy v er
achievers 1.0	ah ch iy v er z
achieves 1.0	ah ch iy v z
achieving 1.0	ah ch iy v ih ng
achille 1.0	ah k ih l iy
achilles 1.0	ah k ih l iy z
aching 1.0	ey k ih ng
achy 1.0	ey k iy
acid 1.0	ae s ah d
acidic 1.0	ah s ih d ih k
acidity 1.0	ah s ih d ah t iy
acidosis 1.0	ae s ah d ow s ah s
acids 1.0	ae s ah d z
ack 1.0	ae k
acklin 1.0	ae k l ih n
acknowledge 1.0	ae k n aa l ih jh
acknowledge 1.0	ih k n aa l ih jh
acknowledged 1.0	ae k n aa l ih jh d
acknowledged 1.0	ih k n aa l ih jh d
acknowledgement 1.0	ae k n aa l ih jh m ah n t
acknowledgement 1.0	ih k n aa l ih jh m ah n t
acknowledges 1.0	ae k n aa l ih jh ih z
acknowledges 1.0	ih k n aa l ih jh ih z
acknowledging 1.0	ae k n aa l ih jh ih ng
acknowledging 1.0	ih k n aa l ih jh ih ng
ackroyd 1.0	ae k r oy d
acme 1.0	ae k m iy
acne 1.0	ae k n iy
acorn 1.0	ey k ao r n
acorns 1.0	ey k ao r n z
acoustic 1.0	ah k uw s t ih k
acoustical 1.0	ah k uw s t ih k ah l
acoustics 1.0	ah k uw s t ih k s
acquaint 1.0	ah k w ey n t
acquaintance 1.0	ah k w ey n t ah n s
acquaintances 1.0	ah k w ey n t ah n s ih z
acquainted 1.0	ah k w ey n ih d
acquainted 1.0	ah k w ey n t ih d
acquiesce 1.0	ae k w iy eh s
acquiesced 1.0	ae k w iy eh s t
acquire 1.0	ah k w ay er
acquired 1.0	ah k w ay er d
acquires 1.0	ah k w ay er z
acquiring 1.0	ah k w ay er ih ng
acquiring 1.0	ah k w ay r ih ng
acquisition 1.0	ae k w ah z ih sh ah n
acquisitions 1.0	ae k w ah z ih sh ah n z
acquit 1.0	ah k w ih t
acquitted 1.0	ah k w ih t ah d
acquitted 1.0	ah k w ih t ih d
acre 1.0	ey k er
acreage 1.0	ey k er ih jh
acreage 1.0	ey k r ah jh
acres 1.0	ey k er z
acrimonious 1.0	ae k r ah m ow n iy ah s
acrobat 1.0	ae k r ah b ae t
acrobatic 1.0	ae k r ah b ae t ih k
acrobatics 1.0	ae k r ah b ae t ih k s
acrobats 1.0	ae k r ah b ae t s
acronym 1.0	ae k r ah n ih m
acronyms 1.0	ae k r ah n ih m z
across 1.0	ah k r ao s
acrylic 1.0	ah k r ih l ih k
acrylics 1.0	ah k r ih l ih k s
act 1.0	ae k t
act's 1.0	ae k t s
acted 1.0	ae k t ah d
acted 1.0	ae k t ih d
acting 1.0	ae k t ih ng
action 1.0	ae k sh ah n
action's 1.0	ae k sh ah n z
actions 1.0	ae k sh ah n z
activate 1.0	ae k t ah v ey t
activated 1.0	ae k t ah v ey t ah d
activated 1.0	ae k t ih v ey t ih d
activates 1.0	ae k t ah v ey t s
activation 1.0	ae k t ah v ey sh ah n
active 1.0	ae k t ih v
actively 1.0	ae k t ih v l iy
activision 1.0	ae k t ih v ih zh ah n
activism 1.0	ae k t ih v ih z ah m
activist 1.0	ae k t ah v ah s t
activist 1.0	ae k t ih v ih s t
activists 1.0	ae k t ah v ah s
activists 1.0	ae k t ah v ah s t s
activists 1.0	ae k t ih v ih s
activists 1.0	ae k t ih v ih s t s
activities 1.0	ae k t ih v ah t iy z
activities 1.0	ae k t ih v ih t iy z
activity 1.0	ae k t ih v ah t iy
activity 1.0	ae k t ih v ih t iy
actor 1.0	ae k t er
actor's 1.0	ae k t er z
actors 1.0	ae k t er z
actors' 1.0	ae k t er z
actress 1.0	ae k t r ah s
actresses 1.0	ae k t r ah s ih z
acts 1.0	ae k s
acts 1.0	ae k t s
actual 1.0	ae k ch ah w ah l
actual 1.0	ae k sh ah l
actuality 1.0	ae k ch uw ae l ah t iy
actualize 1.0	ae k ch uw ah l ay z
actually 1.0	ae k ch l iy
actually 1.0	ae k ch uw ah l iy
actually 1.0	ae k sh ah l iy
actuarial 1.0	ae k ch uw eh r iy ah l
actuary 1.0	ae k ch uw eh r iy
acuff 1.0	ah k ah f
acumen 1.0	ah k y uw m ah n
acupuncture 1.0	ae k y uw p ah ng k ch er
acute 1.0	ah k y uw t
acutely 1.0	ah k y uw t l iy
ad 1.0	ae d
ada 1.0	ey d ah
adage 1.0	ae d ah jh
adage 1.0	ae d ih jh
adair 1.0	ah d eh r
adam 1.0	ae d ah m
adam's 1.0	ae d ah m z
adamant 1.0	ae d ah m ah n t
adamantly 1.0	ae d ah m ah n t l iy
adams 1.0	ae d ah m z
adapt 1.0	ah d ae p t
adaptability 1.0	ah d ae p t ah b ih l ah t iy
adaptable 1.0	ah d ae p t ah b ah l
adaptation 1.0	ae d ah p t ey sh ah n
adaptations 1.0	ae d ae p t ey sh ah n z
adaptations 1.0	ae d ah p t ey sh ah n z
adapted 1.0	ah d ae p t ah d
adapted 1.0	ah d ae p t ih d
adapter 1.0	ah d ae p t er
adapters 1.0	ah d ae p t er z
adapting 1.0	ah d ae p t ih ng
adaptive 1.0	ah d ae p t ih v
adaptor 1.0	ah d ae p t er
adapts 1.0	ah d ae p t s
add 1.0	ae d
addams 1.0	ae d ah m z
added 1.0	ae d ah d
added 1.0	ae d ih d
addendum 1.0	ah d eh d ah m
addict 1.0	ae d ih k t
addict 1.0	ah d ih k t
addicted 1.0	ah d ih k t ah d
addicted 1.0	ah d ih k t ih d
addicting 1.0	ah d ih k t ih ng
addiction 1.0	ah d ih k sh ah n
addictions 1.0	ah d ih k sh ah n z
addictive 1.0	ah d ih k t ih v
addicts 1.0	ae d ih k t s
addicts 1.0	ah d ih k t s
adding 1.0	ae d ih ng
addition 1.0	ah d ih sh ah n
additional 1.0	ah d ih sh ah n ah l
additional 1.0	ah d ih sh n ah l
additionally 1.0	ah d ih sh ah n ah l iy
additionally 1.0	ah d ih sh n ah l iy
additions 1.0	ah d ih sh ah n z
additive 1.0	ae d ah t ih v
additive 1.0	ae d ih t ih v
additives 1.0	ae d ah t ih v z
additives 1.0	ae d ih t ih v z
address 1.0	ae d r eh s
address 1.0	ah d r eh s
addressed 1.0	ah d r eh s t
addresses 1.0	ae d r eh s ih z
addresses 1.0	ah d r eh s ih z
addressing 1.0	ah d r eh s ih ng
adds 1.0	ae d z
addy 1.0	ae d iy
adele 1.0	ah d eh l
adeline 1.0	ae d ah l ay n
adelphi 1.0	ah d eh l f iy
adelphia 1.0	ah d eh l f iy ah
adenoids 1.0	ae d ah n oy d z
adept 1.0	ah d eh p t
adequate 1.0	ae d ah k w ah t
adequate 1.0	ae d ah k w ey t
adequately 1.0	ae d ah k w ah t l iy
adequately 1.0	ae d ah k w ih t l iy
adhere 1.0	ah d hh ih r
adhered 1.0	ae d hh ih r d
adherence 1.0	ah d hh ih r ah n s
adheres 1.0	ah d hh ih r z
adhering 1.0	ah d hh ih r ih ng
adhesives 1.0	ae d hh iy s ih v z
